Position,Height,Weight,Age,Preferred Foot,Avg Ball,Avg Pass,Finishing,Speed,Kicking Power,Stamina,Avg Def,Weak Foot,Overall
RB,180,71,31,Right,62.0,61.5,60,71,69,69,64.66666666666667,High,67
CMF,173,70,34,Right,64.0,63.0,57,68,64,74,66.66666666666667,Medium,67
LMF,174,69,26,Left,66.5,63.5,59,66,65,68,60.666666666666664,Very,67
RB,168,72,31,Right,63.5,62.0,56,71,62,70,63.0,High,67
RWF,174,72,30,Right,62.0,62.0,62,77,63,61,50.333333333333336,High,67
LB,179,70,27,Left,62.0,65.5,54,68,67,67,65.66666666666667,Medium,67
LWF,185,84,32,Right,72.5,56.5,59,70,64,56,51.333333333333336,High,67
CF,180,72,27,Right,59.5,52.5,68,66,68,64,50.0,Medium,67
CB,197,94,28,Left,56.0,59.0,49,53,62,65,63.333333333333336,Medium,67
LB,180,75,27,Left,63.0,64.5,56,67,61,72,64.66666666666667,Medium,67
CB,183,83,32,Right,52.5,55.5,44,63,63,64,73.0,Slightly,67
CB,192,93,31,Left,58.5,60.5,49,60,65,62,65.66666666666667,Medium,67
CB,178,75,32,Right,56.5,59.5,54,60,60,67,67.33333333333333,High,67
GK,191,82,27,Right,42.0,47.5,40,55,64,54,49.0,Medium,67
CB,180,81,35,Right,55.5,59.0,50,60,63,66,68.66666666666667,High,67
GK,190,88,35,Right,46.5,54.5,40,53,72,54,49.333333333333336,Medium,67
RB,182,79,29,Right,60.5,61.5,57,72,67,70,60.0,Medium,67
CF,185,72,28,Right,68.0,64.5,60,75,65,74,54.333333333333336,Medium,67
GK,196,92,39,Right,47.0,55.0,53,51,75,53,53.333333333333336,Very,67
CB,185,78,29,Left,55.5,59.0,53,63,63,65,68.0,Medium,67
CB,186,76,30,Left,64.5,59.0,55,64,71,64,65.33333333333333,High,67
RWF,173,72,28,Right,67.5,66.0,60,68,64,66,58.666666666666664,Medium,67
RB,179,75,27,Right,63.5,64.0,51,68,60,71,62.333333333333336,High,67
CF,194,91,25,Right,62.0,57.0,64,60,66,63,56.0,High,67
CB,175,70,26,Right,63.5,63.5,54,68,66,70,67.0,High,67
LB,180,81,32,Left,59.0,61.5,56,71,66,74,66.33333333333333,Medium,67
GK,187,86,28,Right,48.0,56.0,45,55,68,56,51.333333333333336,Medium,67
LB,173,71,27,Left,64.5,64.5,54,71,59,67,63.0,Medium,67
RB,182,81,30,Right,63.0,62.5,55,67,65,70,61.333333333333336,Medium,67
AMF,173,72,29,Left,68.0,69.0,59,66,68,64,52.666666666666664,High,67
CB,184,71,26,Right,61.0,66.0,45,62,59,67,69.33333333333333,High,67
CF,186,81,26,Right,60.5,56.0,63,75,66,69,46.333333333333336,Medium,67
CB,190,86,28,Right,56.5,56.5,48,62,61,64,66.0,High,67
RB,184,78,27,Right,63.5,63.0,53,67,69,72,61.333333333333336,Medium,67
GK,190,78,28,Right,41.5,52.0,40,56,66,59,46.333333333333336,High,67
RWF,173,65,27,Right,67.5,59.0,60,74,66,58,49.666666666666664,High,67
CMF,175,70,25,Right,64.0,65.0,55,66,70,72,61.333333333333336,Medium,67
DMF,180,70,28,Right,61.0,63.0,53,67,62,71,68.33333333333333,High,67
CB,193,88,30,Left,54.5,56.0,52,57,62,60,68.0,Medium,67
CB,197,97,30,Right,52.5,57.0,48,57,67,62,65.33333333333333,Medium,67
AMF,176,83,31,Right,69.5,59.0,69,74,68,61,47.666666666666664,High,67
CB,183,75,30,Right,61.0,64.0,56,67,61,65,63.333333333333336,Medium,67
RB,181,72,34,Right,63.0,60.0,60,69,70,69,66.33333333333333,Medium,67
GK,187,84,31,Right,47.0,54.0,41,56,69,57,50.333333333333336,Medium,67
CF,185,75,31,Right,63.5,60.0,64,66,63,64,50.666666666666664,High,67
GK,187,96,36,Right,41.5,43.5,40,52,62,46,46.666666666666664,Medium,67
CF,184,75,25,Right,63.5,57.5,65,68,65,64,46.0,Medium,67
CF,180,70,29,Right,62.0,56.5,65,68,67,64,51.666666666666664,Medium,67
GK,198,85,34,Right,41.5,55.0,40,54,59,52,49.333333333333336,Medium,67
CB,175,75,36,Right,55.0,60.0,53,64,61,67,65.0,High,67
RB,178,82,35,Right,63.0,63.0,55,71,72,74,60.666666666666664,Medium,67
RB,183,80,30,Right,63.0,64.0,55,71,70,73,59.333333333333336,High,67
RB,188,78,33,Right,62.5,61.5,59,70,62,68,62.0,Medium,67
CF,185,80,33,Right,64.5,61.0,68,65,62,69,57.333333333333336,High,67
AMF,187,72,33,Left,65.5,66.0,62,65,75,69,55.0,High,67
GK,188,88,31,Right,41.5,44.5,40,52,64,53,48.666666666666664,Medium,67
RMF,169,64,30,Right,66.0,63.0,61,69,60,65,57.666666666666664,High,67
CB,190,80,28,Right,58.0,60.0,47,72,58,65,64.0,Medium,67
DMF,188,82,33,Right,60.5,64.0,52,58,63,69,66.33333333333333,Medium,67
GK,198,88,26,Right,46.0,53.5,41,56,72,51,48.666666666666664,Medium,67
CF,182,80,29,Right,60.5,54.0,67,63,65,65,44.666666666666664,Very,67
GK,189,81,34,Right,47.0,51.5,40,49,63,56,48.333333333333336,Slightly,67
AMF,179,74,33,Right,69.5,69.0,61,64,71,65,51.0,Very,67
CB,192,88,29,Right,55.0,58.5,50,59,61,65,68.0,Medium,67
AMF,183,69,37,Right,67.5,67.0,61,67,65,66,50.0,High,67
CB,189,77,28,Right,55.5,60.0,48,61,65,68,66.0,High,67
DMF,172,69,37,Right,68.0,66.5,66,67,73,68,63.0,High,67
RB,177,70,27,Right,64.5,65.0,51,69,70,70,63.666666666666664,Slightly,67
GK,187,80,32,Right,45.0,52.0,40,53,62,51,48.333333333333336,Slightly,67
CF,185,76,29,Right,63.5,55.5,66,68,63,62,49.666666666666664,High,67
GK,192,90,31,Right,42.0,49.0,40,50,66,51,50.333333333333336,High,67
CB,189,80,29,Left,59.0,60.5,46,62,60,62,66.66666666666667,Medium,67
CMF,183,76,30,Right,62.5,68.5,58,63,70,72,63.0,High,67
RMF,173,65,28,Right,68.5,62.5,59,75,60,61,47.0,Medium,67
CB,186,84,33,Right,56.5,59.5,45,56,63,65,68.66666666666667,Medium,67
LWF,186,79,29,Right,62.0,56.0,67,73,67,64,56.333333333333336,Medium,67
GK,188,83,30,Right,42.0,49.0,40,53,60,47,46.0,Medium,67
CB,188,83,31,Right,55.0,53.5,48,60,63,67,67.66666666666667,Medium,67
CMF,175,71,35,Right,64.5,69.5,60,62,65,67,61.0,High,67
DMF,185,78,32,Right,61.5,62.5,61,62,61,70,67.0,Slightly,67
CB,185,77,27,Left,58.0,60.0,49,71,71,72,64.0,Slightly,67
CF,198,94,31,Right,60.0,54.0,65,60,69,64,45.666666666666664,Medium,67
CF,180,79,31,Right,65.5,61.5,65,65,63,68,63.0,Slightly,67
DMF,184,83,30,Right,61.0,66.0,56,60,73,69,67.33333333333333,Medium,67
CF,186,78,39,Right,62.0,60.5,69,64,65,63,56.333333333333336,High,67
CB,181,74,28,Left,56.0,60.0,46,62,55,65,66.66666666666667,High,67
AMF,180,68,26,Left,67.5,66.0,60,65,63,68,55.666666666666664,Medium,67
AMF,175,68,30,Right,67.5,68.0,60,65,69,67,54.333333333333336,High,67
CMF,175,69,24,Right,62.0,69.5,54,66,69,75,62.333333333333336,Medium,67
DMF,181,76,31,Right,63.5,70.0,52,59,62,70,67.33333333333333,Medium,67
LMF,176,75,27,Left,63.0,65.5,58,68,64,75,59.0,Medium,67
DMF,170,67,33,Right,64.0,67.0,51,63,61,78,68.33333333333333,High,67
RMF,173,68,29,Right,66.5,59.0,65,76,64,66,53.333333333333336,High,67
CB,185,79,27,Right,58.0,65.0,50,60,62,63,65.33333333333333,Medium,67
CMF,189,81,31,Right,63.0,69.0,59,62,71,66,62.666666666666664,High,67
RB,171,70,35,Right,70.5,63.5,57,70,59,70,62.666666666666664,Medium,67
RB,180,69,27,Right,64.5,62.5,55,72,65,67,60.0,Medium,67
LMF,185,73,28,Left,64.5,64.5,60,71,73,72,52.666666666666664,High,67
AMF,173,68,30,Left,69.0,67.5,63,65,69,65,46.0,Medium,67
AMF,170,72,29,Left,69.0,67.5,65,62,66,64,47.666666666666664,Medium,67
CMF,176,73,28,Left,62.0,67.0,61,64,69,73,67.66666666666667,High,67
LB,179,80,28,Left,61.0,63.0,49,68,65,74,59.666666666666664,Medium,67
CB,196,84,30,Right,51.5,55.5,43,55,60,67,69.33333333333333,Medium,67
RB,178,74,32,Right,62.5,60.5,53,68,65,72,67.66666666666667,Slightly,67
CMF,180,70,31,Left,65.0,72.5,62,58,71,65,58.0,Medium,67
RWF,178,70,28,Right,66.0,64.0,60,71,65,66,50.333333333333336,High,67
CF,191,82,36,Right,60.5,54.0,67,61,70,64,43.666666666666664,Medium,67
RB,171,74,29,Right,62.5,62.0,53,72,60,72,62.333333333333336,Medium,67
AMF,180,71,31,Right,65.5,66.5,61,63,67,69,62.0,Slightly,67
DMF,172,71,31,Right,60.0,63.0,51,57,69,78,75.0,Medium,67
CB,187,80,32,Left,58.0,59.5,49,60,67,63,65.33333333333333,Medium,67
CF,190,76,30,Right,64.5,57.5,65,61,68,62,46.333333333333336,High,67
CB,185,83,31,Right,59.0,59.0,52,60,59,63,68.33333333333333,Medium,67
CMF,173,66,29,Right,66.5,67.0,63,65,67,66,60.666666666666664,High,67
RB,177,70,28,Right,62.5,63.0,57,65,75,75,65.66666666666667,Medium,67
CMF,174,70,26,Left,67.0,65.5,54,63,64,72,64.33333333333333,Medium,67
CB,192,85,29,Right,56.0,58.0,48,60,55,65,64.66666666666667,Medium,67
CF,173,71,26,Right,64.0,59.5,64,72,66,67,56.0,Medium,67
LB,182,77,25,Left,62.0,59.0,52,77,64,77,57.666666666666664,Medium,67
LWF,182,76,27,Right,65.5,58.5,62,78,62,66,46.0,High,67
CF,183,78,33,Right,61.5,56.5,67,69,66,65,54.333333333333336,Medium,67
CMF,174,71,25,Right,71.5,66.5,53,70,64,63,63.333333333333336,Medium,67
RB,174,68,35,Right,62.5,59.0,60,75,64,72,60.0,Medium,67
CMF,184,76,26,Right,63.5,66.5,56,64,67,69,65.33333333333333,Medium,67
LWF,171,65,30,Right,69.0,66.0,57,68,68,60,55.666666666666664,Medium,67
CB,180,78,32,Right,58.0,61.5,49,65,60,63,66.33333333333333,Medium,67
GK,186,77,28,Right,46.0,47.5,42,55,62,49,48.333333333333336,Slightly,67
CF,187,78,26,Right,66.0,60.0,66,63,66,68,55.333333333333336,Medium,67
CB,194,85,25,Left,56.5,60.0,47,60,60,63,65.33333333333333,Medium,67
CMF,170,61,25,Right,67.5,70.0,58,60,62,71,60.0,High,67
RB,167,63,29,Right,60.5,63.5,53,66,62,72,66.66666666666667,High,67
CMF,174,63,26,Right,65.0,66.5,52,66,60,74,67.33333333333333,High,67
CB,188,84,27,Right,56.5,58.0,44,63,60,70,68.33333333333333,High,67
LB,186,84,31,Left,61.5,59.0,51,74,65,69,64.33333333333333,Slightly,67
GK,188,83,38,Right,45.5,52.5,40,51,64,53,47.666666666666664,Slightly,67
RMF,169,67,27,Left,66.5,63.5,62,68,60,64,54.0,Medium,67
CB,183,71,37,Right,54.5,60.0,51,59,68,67,66.0,High,67
CB,190,75,25,Right,58.0,60.0,49,60,56,66,66.0,Slightly,67
CB,192,71,30,Right,57.5,61.0,50,58,63,72,63.666666666666664,Medium,67
CF,183,83,24,Right,62.5,57.0,63,72,67,62,53.666666666666664,Medium,67
CB,186,78,26,Right,56.0,59.0,50,67,60,62,67.0,High,67
RB,176,77,29,Right,62.0,61.5,54,73,61,70,62.666666666666664,Medium,67
LB,184,78,29,Left,63.5,64.5,55,66,70,70,63.666666666666664,Medium,67
CF,178,74,24,Right,68.0,63.0,66,68,65,63,52.666666666666664,Slightly,67
CF,182,80,33,Right,63.0,60.5,64,69,70,67,50.333333333333336,High,67
DMF,178,75,29,Right,67.0,72.5,59,62,72,72,63.333333333333336,Medium,67
LB,179,74,25,Left,61.0,62.0,53,70,66,74,64.66666666666667,Slightly,67
LWF,180,67,26,Right,67.5,62.0,58,73,62,67,45.0,High,67
CMF,178,65,23,Right,62.0,62.0,54,69,66,72,72.66666666666667,Medium,67
CF,183,71,27,Left,60.0,53.5,65,72,69,68,50.333333333333336,Medium,67
CB,181,78,29,Left,59.5,61.5,50,64,59,64,64.66666666666667,Medium,67
RWF,179,71,27,Left,66.0,60.0,60,71,70,62,53.333333333333336,High,67
RB,178,72,26,Right,61.5,57.5,53,80,66,74,59.0,High,67
CF,183,78,24,Right,70.0,61.0,64,70,64,60,50.333333333333336,Medium,67
DMF,185,83,26,Right,61.0,62.0,57,60,72,74,68.33333333333333,Medium,67
SS,181,69,27,Right,70.0,62.5,62,65,67,60,49.666666666666664,High,67
CMF,167,63,26,Right,70.0,63.0,60,69,62,75,60.333333333333336,Medium,67
CMF,180,75,24,Right,69.0,65.5,60,66,61,67,59.666666666666664,Medium,67
RB,184,70,26,Right,64.0,64.5,55,70,68,67,62.333333333333336,High,67
LB,181,73,24,Left,62.0,61.5,53,68,63,71,63.666666666666664,Medium,67
RB,180,70,25,Right,64.0,60.0,50,69,61,72,63.333333333333336,High,67
DMF,180,70,29,Right,64.0,68.0,65,70,71,69,61.666666666666664,Medium,67
CB,186,75,25,Right,60.0,60.0,50,63,56,64,66.33333333333333,Medium,67
CF,188,80,25,Right,60.5,57.0,67,63,68,66,52.666666666666664,High,67
LB,174,70,26,Left,64.5,61.0,51,74,60,70,61.333333333333336,High,67
CB,191,75,25,Left,56.0,58.0,48,62,60,63,67.66666666666667,Medium,67
AMF,175,70,24,Left,67.0,66.0,62,65,70,72,56.0,High,67
CMF,169,67,25,Right,66.0,64.0,62,69,66,69,61.666666666666664,High,67
LWF,173,64,30,Right,62.0,59.5,60,75,63,65,58.333333333333336,Very,67
LWF,185,75,33,Right,67.0,63.5,59,65,69,69,58.666666666666664,High,67
CMF,178,77,29,Right,64.5,66.0,60,62,73,73,61.0,Medium,67
RB,186,78,31,Right,64.0,68.0,51,67,66,72,61.666666666666664,Medium,67
LB,182,70,31,Right,55.5,57.5,53,69,60,77,69.66666666666667,High,67
GK,185,79,25,Right,46.5,51.5,42,60,70,58,49.0,Medium,67
CMF,175,72,37,Right,62.5,69.0,62,62,70,71,62.666666666666664,Medium,67
DMF,169,72,26,Right,61.0,68.0,52,58,61,76,72.0,High,67
DMF,185,74,38,Right,62.5,65.5,55,61,63,71,66.33333333333333,Medium,67
AMF,178,73,39,Right,67.5,70.5,60,57,72,58,48.333333333333336,High,67
DMF,170,69,26,Right,65.5,70.0,56,62,62,80,69.66666666666667,Medium,67
AMF,176,66,27,Right,65.0,67.5,61,65,66,68,58.333333333333336,Medium,67
RWF,178,68,27,Right,70.5,59.5,60,73,63,64,50.0,Medium,67
CB,181,76,24,Left,63.0,66.5,60,63,67,64,64.33333333333333,Very,67
RWF,173,65,30,Right,66.0,59.5,61,73,65,64,47.333333333333336,High,67
GK,181,80,37,Right,50.0,53.5,40,51,71,51,50.666666666666664,Medium,67
CMF,181,78,25,Right,64.5,62.0,68,66,71,73,60.0,Medium,67
AMF,181,64,29,Left,67.5,67.5,60,69,67,72,56.666666666666664,Medium,67
LWF,177,72,25,Right,65.5,60.0,60,75,66,63,50.0,Medium,67
GK,192,79,33,Right,48.5,48.0,40,50,70,47,53.0,Medium,67
LB,177,68,26,Left,63.5,63.0,51,67,67,71,64.66666666666667,Medium,67
CB,186,80,32,Right,58.0,61.5,51,62,59,63,66.0,Medium,67
CMF,181,73,28,Right,64.5,67.5,54,60,69,73,67.66666666666667,High,67
CB,186,81,36,Right,59.0,62.0,52,62,60,67,62.666666666666664,Medium,67
RMF,175,68,32,Right,68.5,61.0,58,73,63,65,54.0,High,67
CF,185,79,31,Right,60.5,53.5,68,62,68,61,55.333333333333336,Very,67
GK,194,89,37,Right,43.5,51.0,40,54,76,50,50.0,Medium,67
LB,170,65,34,Left,62.5,61.0,53,64,70,78,62.0,Very,67
CB,187,86,29,Right,54.0,56.0,49,64,58,65,64.0,High,67
LB,175,67,30,Left,60.5,65.0,53,69,69,68,64.33333333333333,High,67
CB,182,81,33,Left,59.0,63.0,56,63,67,66,63.666666666666664,Medium,67
GK,191,102,31,Right,41.5,46.5,40,56,69,48,47.333333333333336,Medium,67
CMF,183,79,29,Right,62.5,67.5,55,57,71,76,63.333333333333336,Medium,67
LB,184,85,29,Left,59.5,62.5,54,71,68,72,63.666666666666664,High,67
DMF,170,67,27,Right,65.5,66.5,56,66,74,72,67.66666666666667,Medium,67
DMF,174,69,29,Right,63.5,65.0,60,65,66,69,64.0,High,67
CMF,182,76,30,Right,64.0,64.5,60,67,68,70,62.666666666666664,Medium,67
LB,177,73,27,Left,64.0,60.5,50,70,59,77,64.0,Medium,67
CB,190,78,29,Left,56.5,55.0,40,63,60,62,64.33333333333333,Medium,67
RMF,183,80,27,Right,62.0,61.0,60,74,68,79,61.666666666666664,High,67
RMF,179,75,26,Right,68.0,61.0,61,73,71,65,54.333333333333336,Medium,67
CMF,181,78,25,Right,66.5,63.0,57,70,65,70,62.0,High,67
CF,189,83,27,Left,62.0,57.0,66,60,69,63,48.666666666666664,High,67
RB,183,77,24,Right,61.5,60.5,42,72,62,74,65.66666666666667,Medium,67
CMF,182,80,26,Right,68.0,65.5,60,58,64,70,63.0,Medium,67
CB,190,82,27,Right,56.0,56.5,44,59,59,62,66.0,Slightly,67
CMF,180,68,24,Right,64.5,66.0,56,67,66,68,66.0,Medium,67
DMF,182,73,24,Right,62.5,66.5,58,62,68,74,66.66666666666667,High,67
CMF,185,78,25,Right,64.0,66.5,68,65,67,67,61.333333333333336,High,67
GK,180,85,23,Right,42.0,48.0,40,51,65,52,48.0,Medium,67
CMF,178,73,25,Right,62.5,66.5,53,64,67,68,67.0,Medium,67
DMF,172,67,25,Right,63.5,66.5,60,65,70,72,65.0,Medium,67
RB,180,72,23,Right,62.0,63.5,57,69,65,69,62.666666666666664,High,67
CB,184,70,26,Right,59.5,61.5,50,66,65,63,64.66666666666667,Medium,67
CF,182,72,25,Right,64.0,59.0,63,72,68,62,44.666666666666664,High,67
CB,188,78,24,Right,55.5,58.0,47,64,65,63,64.66666666666667,Medium,67
RWF,184,82,25,Left,63.5,58.5,68,73,67,66,52.333333333333336,Medium,67
CF,197,87,30,Right,59.5,55.0,62,67,68,68,52.0,Medium,67
CMF,175,70,25,Right,68.0,67.0,56,65,61,71,57.666666666666664,High,67
CB,191,86,25,Right,57.0,58.0,48,60,70,61,63.333333333333336,Medium,67
AMF,181,74,25,Right,68.5,69.0,62,64,63,63,55.666666666666664,Medium,67
AMF,175,74,24,Right,69.5,68.0,62,64,67,60,52.0,Medium,67
RWF,179,80,24,Left,63.0,60.5,65,67,68,68,53.666666666666664,High,67
LMF,178,70,24,Left,63.0,61.5,58,69,67,75,65.66666666666667,Medium,67
AMF,176,65,31,Left,67.5,67.5,62,64,67,64,49.333333333333336,High,67
LB,177,70,27,Left,62.5,63.0,49,78,60,68,61.666666666666664,High,67
RWF,177,64,24,Left,67.5,61.5,60,74,67,67,52.0,Slightly,67
CB,189,81,27,Right,53.5,52.0,56,62,57,59,65.0,Medium,67
RB,181,75,25,Right,64.5,63.0,48,71,63,70,64.66666666666667,Medium,67
AMF,184,74,25,Right,66.5,64.5,63,65,68,66,57.666666666666664,Medium,67
RB,181,75,24,Right,62.0,64.0,49,68,59,67,67.0,Medium,67
CMF,183,77,25,Right,62.5,63.0,60,70,67,74,67.0,Medium,67
RMF,175,70,24,Left,66.5,59.0,60,76,59,69,49.333333333333336,Medium,67
CB,185,72,30,Right,54.0,58.0,45,64,62,66,67.0,Medium,67
LWF,183,78,26,Left,62.0,61.0,58,74,64,69,61.0,Slightly,67
CF,184,84,25,Right,63.5,57.0,64,66,66,62,52.333333333333336,Medium,67
RWF,172,65,26,Right,65.0,64.5,62,69,66,64,52.333333333333336,High,67
CMF,173,72,24,Right,63.0,69.0,58,70,71,70,61.333333333333336,High,67
LB,183,71,26,Left,62.5,64.0,55,67,65,72,62.333333333333336,Medium,67
LWF,172,64,23,Right,66.0,63.5,65,68,65,65,57.0,High,67
DMF,173,70,28,Right,66.0,67.5,48,62,67,76,65.33333333333333,High,67
LWF,177,72,24,Right,66.0,59.0,64,70,62,65,46.666666666666664,Medium,67
CMF,178,74,25,Right,66.5,66.0,56,65,62,67,68.33333333333333,High,67
LWF,186,81,28,Right,61.0,56.0,61,80,70,68,50.333333333333336,Medium,67
DMF,184,76,25,Right,62.0,63.0,48,66,64,70,67.66666666666667,High,67
CF,182,75,24,Right,65.0,59.0,67,68,66,65,46.333333333333336,High,67
LWF,175,70,26,Right,67.5,60.5,64,71,69,64,54.666666666666664,High,67
GK,190,82,26,Right,41.5,46.5,40,57,64,57,48.333333333333336,Medium,67
DMF,178,70,26,Right,65.0,69.0,57,64,70,72,63.333333333333336,High,67
CB,194,80,24,Right,57.5,61.0,46,62,66,63,68.66666666666667,Medium,67
GK,192,73,25,Left,43.0,45.5,40,58,64,50,49.333333333333336,Medium,67
RB,174,69,25,Right,64.0,62.0,53,72,67,73,61.0,Slightly,67
CF,184,74,27,Right,60.5,56.5,65,64,68,69,50.333333333333336,High,67
CB,185,83,26,Left,56.5,61.5,48,62,61,67,67.33333333333333,Medium,67
AMF,174,75,24,Right,68.5,68.5,60,63,71,63,53.666666666666664,Medium,67
CB,188,75,23,Right,55.5,59.0,50,64,60,67,65.66666666666667,Medium,67
LB,175,71,24,Left,66.0,62.5,49,68,60,74,61.666666666666664,Slightly,67
AMF,178,70,26,Left,67.0,68.5,65,63,70,63,44.666666666666664,Medium,67
LB,170,69,24,Left,65.5,60.5,52,70,61,71,66.0,Medium,67
RB,174,71,25,Right,65.0,62.5,60,70,65,67,63.333333333333336,High,67
CMF,187,70,25,Right,63.5,64.5,60,72,74,68,61.666666666666664,Medium,67
CF,188,68,23,Left,63.5,56.5,62,69,67,68,58.333333333333336,Medium,67
CMF,181,72,23,Left,66.5,67.0,59,61,68,69,64.66666666666667,Medium,67
RB,163,66,25,Right,66.0,63.5,59,71,64,72,60.0,High,67
CF,180,72,26,Right,62.5,58.0,67,65,67,65,53.333333333333336,Slightly,67
DMF,175,73,23,Right,66.5,67.0,64,65,74,67,66.0,Medium,67
CB,187,78,26,Right,59.0,59.5,53,67,58,61,63.333333333333336,Medium,67
RWF,184,76,26,Left,62.5,63.5,67,69,66,68,54.0,Medium,67
LMF,182,75,27,Left,64.5,64.0,59,72,62,69,61.666666666666664,Medium,67
CMF,183,80,33,Left,62.5,64.5,55,62,66,73,68.0,Medium,67
RB,179,71,25,Right,66.5,66.0,56,67,68,74,61.0,High,67
RWF,175,75,31,Right,61.5,62.0,60,74,60,74,56.666666666666664,High,67
LMF,183,74,28,Right,62.5,61.5,60,75,64,77,59.333333333333336,Medium,67
LB,168,64,27,Left,63.5,64.0,57,73,68,69,59.333333333333336,Slightly,67
CB,189,77,24,Right,55.0,60.0,48,61,60,65,66.33333333333333,Medium,67
RB,175,66,23,Right,64.5,65.0,57,70,60,69,65.33333333333333,Medium,67
LB,184,78,28,Left,62.5,61.5,57,69,64,69,62.0,Medium,67
SS,183,78,31,Right,67.0,61.0,65,64,71,61,56.0,Medium,67
GK,194,88,27,Right,41.5,53.5,40,47,49,57,51.333333333333336,Slightly,67
CB,191,80,28,Left,56.5,61.5,48,59,64,68,62.666666666666664,Medium,67
LB,168,64,26,Left,63.0,60.0,53,77,59,72,70.0,Slightly,67
RWF,171,63,24,Right,68.5,61.5,60,72,63,62,50.333333333333336,Slightly,67
RWF,176,71,29,Left,68.0,63.5,61,67,66,67,51.666666666666664,Medium,67
LB,178,66,28,Right,63.0,58.0,55,70,70,74,64.66666666666667,Medium,67
CF,188,83,29,Right,62.0,55.5,65,64,69,62,47.333333333333336,High,67
CMF,180,72,24,Right,63.0,69.0,54,63,63,72,61.666666666666664,High,67
CF,180,76,29,Right,62.5,58.5,63,73,66,65,49.666666666666664,High,67
GK,194,89,23,Right,44.5,49.5,42,54,64,52,48.333333333333336,Medium,67
DMF,190,78,25,Right,58.0,63.0,48,59,62,73,66.66666666666667,Medium,67
CB,194,92,28,Right,56.5,60.5,47,56,62,67,64.33333333333333,Medium,67
GK,188,84,29,Right,50.5,49.5,40,50,62,47,49.666666666666664,Medium,67
LB,184,83,28,Left,59.0,60.5,52,62,63,74,69.66666666666667,Medium,67
CB,180,72,30,Right,60.0,62.5,50,67,60,70,66.0,Medium,67
RB,180,75,30,Right,63.0,60.5,50,73,62,68,64.33333333333333,Slightly,67
GK,192,90,25,Right,53.0,59.5,40,59,67,54,56.0,Medium,67
GK,193,86,25,Right,47.5,55.5,40,55,64,56,54.333333333333336,Medium,67
AMF,178,70,24,Left,65.5,68.5,64,65,66,63,55.666666666666664,High,67
CB,183,74,32,Left,58.5,59.5,47,66,62,75,66.0,Medium,67
LMF,185,66,28,Left,64.5,63.5,60,71,68,70,60.0,High,67
CB,181,84,30,Right,55.0,58.5,51,60,66,64,68.33333333333333,Medium,67
DMF,167,61,24,Right,65.0,63.5,54,71,63,74,70.33333333333333,High,67
CF,184,78,22,Right,62.5,59.5,64,63,72,62,46.666666666666664,Medium,67
LWF,177,75,22,Right,68.5,64.5,62,67,61,65,51.333333333333336,Medium,67
CMF,179,71,23,Left,66.5,67.5,58,64,69,65,63.666666666666664,Medium,67
CB,188,84,22,Right,55.0,61.0,40,61,63,63,67.0,Medium,67
CMF,180,75,23,Right,64.0,65.5,60,69,69,67,62.0,Medium,67
AMF,178,74,24,Right,65.0,66.5,64,68,65,71,56.333333333333336,Medium,67
GK,188,69,23,Right,43.0,50.5,40,57,69,50,48.333333333333336,Medium,67
CMF,180,75,28,Right,63.5,63.0,60,65,72,74,68.0,Medium,67
CMF,180,75,23,Right,65.0,68.5,60,64,74,65,62.333333333333336,High,67
RB,180,68,26,Right,62.5,60.0,49,70,63,71,64.33333333333333,Medium,67
LMF,173,69,27,Right,66.5,59.5,62,75,68,64,51.666666666666664,Medium,67
AMF,176,63,24,Right,70.0,63.5,60,69,67,66,54.333333333333336,High,67
RB,179,70,24,Right,64.5,67.5,51,65,59,70,63.666666666666664,Medium,67
CMF,188,68,23,Right,66.0,64.0,53,67,63,71,66.66666666666667,Medium,67
RWF,178,73,23,Right,66.5,60.0,62,70,64,64,46.0,Medium,67
CB,184,81,23,Left,63.5,61.5,52,69,60,68,62.333333333333336,Medium,67
RMF,178,61,24,Right,62.5,65.5,53,73,62,67,59.666666666666664,High,67
GK,190,99,25,Right,47.0,54.0,43,50,67,54,49.0,Medium,67
CF,189,76,27,Right,60.5,62.0,66,63,64,66,48.333333333333336,High,67
LWF,174,69,23,Right,66.5,59.0,62,72,64,64,53.0,Medium,67
LB,178,72,23,Right,63.5,63.0,57,69,70,69,62.0,Medium,67
CMF,177,66,25,Right,65.5,65.0,61,69,66,69,61.666666666666664,Medium,67
RB,182,77,24,Right,63.0,61.0,49,68,63,72,67.0,High,67
AMF,175,60,26,Left,69.0,63.5,63,79,64,60,51.0,Medium,67
LB,173,66,25,Left,62.0,66.0,59,68,70,74,61.0,Medium,67
CF,188,80,20,Right,62.5,57.5,67,65,63,60,51.333333333333336,High,67
LMF,173,67,24,Left,69.5,63.5,66,67,75,67,52.0,Medium,67
LB,183,79,24,Left,62.5,61.0,51,73,67,69,60.666666666666664,Slightly,67
LB,179,73,26,Left,62.0,62.0,49,70,61,77,63.0,Medium,67
CB,194,80,22,Left,55.5,59.0,47,61,63,62,68.33333333333333,Slightly,67
CMF,180,78,23,Right,67.5,68.5,58,63,62,69,63.333333333333336,High,67
CMF,176,72,24,Right,64.5,66.0,64,67,72,71,64.0,Medium,67
CB,183,80,25,Right,57.5,59.5,47,60,60,67,69.0,Medium,67
